road,hour,traffic
Cahill Expressway Northbound,07:00,0%
Cahill Expressway Northbound,07:00,0.0%
Cahill Expressway Northbound,07:00,0.0%
Cahill Expressway Northbound,07:00,0.0%
Cahill Expressway Northbound,07:00,0.0%
Cahill Expressway Northbound,07:00,0.0%
Cahill Expressway Northbound,07:00,0.0%
Cahill Expressway Northbound,07:00,0.0%
Cahill Expressway Northbound,07:00,0.0%
Cahill Expressway Northbound,07:00,0.0%
Cahill Expressway Northbound,07:00,0.0%
Cahill Expressway Northbound,07:00,0.0%
Cahill Expressway Northbound,07:00,0.0%
Cahill Expressway Northbound,07:00,0.0%
Cahill Expressway Northbound,07:00,0.0%
Cahill Expressway Northbound,07:00,0.0%
Cahill Expressway Northbound,07:00,0.0%
Cahill Expressway Northbound,07:00,0.0%
Cahill Expressway Northbound,07:00,0.0%
Cahill Expressway Northbound,07:00,0.0%
Cahill Expressway Northbound,07:00,0.0%
Cahill Expressway Northbound,07:00,0.0%
Cahill Expressway Northbound,07:00,0.0%
Cahill Expressway Northbound,07:00,0.0%
Cahill Expressway Northbound,07:00,0.0%
Cahill Expressway southbound,07:00,0%
Cahill Expressway southbound,07:00,0%
Cahill Expressway southbound,07:00,0%
Cahill Expressway southbound,07:00,0%
Cahill Expressway southbound,07:00,0%
Cahill Expressway southbound,07:00,0.0%
Cahill Expressway southbound,07:00,0.0%
Cahill Expressway southbound,07:00,0.0%
Cahill Expressway southbound,07:00,0.0%
Cahill Expressway southbound,07:00,0.0%
Cahill Expressway southbound,07:00,0.0%
Cahill Expressway southbound,07:00,0.0%
Cahill Expressway southbound,07:00,0.0%
Cahill Expressway southbound,07:00,0.0%
Cahill Expressway southbound,07:00,0.0%
Cahill Expressway southbound,07:00,0.0%
Cahill Expressway southbound,07:00,0.0%
Cahill Expressway southbound,07:00,0.0%
Cahill Expressway southbound,07:00,0.0%
Cahill Expressway southbound,07:00,0.0%
Cahill Expressway southbound,07:00,0.0%
Cahill Expressway southbound,07:00,0.0%
Cahill Expressway southbound,07:00,0.0%
Cahill Expressway southbound,07:00,0.0%
Cahill Expressway southbound,07:00,0.0%
City road southbound,07:00,0%
City road southbound,07:00,0.0%
City road southbound,07:00,0.0%
City road southbound,07:00,0.0%
City road southbound,07:00,17.85714285714286%
City road nortbound,07:00,0%
City road nortbound,07:00,48%
City road nortbound,07:00,0.0%
City road nortbound,07:00,0.0%
City road nortbound,07:00,46.34146341463414%
City road nortbound,07:00,0.0%
City road nortbound,07:00,0.0%
City road nortbound,07:00,0.0%
City road nortbound,07:00,0.0%
City road nortbound,07:00,26.66666666666667%
Brisbane Water Drive Northbound,07:00,0%
Brisbane Water Drive Northbound,07:00,0%
Brisbane Water Drive Northbound,07:00,0%
Brisbane Water Drive Northbound,07:00,0%
Brisbane Water Drive Northbound,07:00,0%
Brisbane Water Drive Northbound,07:00,0%
Brisbane Water Drive Northbound,07:00,0%
Brisbane Water Drive Northbound,07:00,0%
Brisbane Water Drive Northbound,07:00,0%
Brisbane Water Drive Northbound,07:00,0%
Brisbane Water Drive Northbound,07:00,0%
Brisbane Water Drive Northbound,07:00,0%
Brisbane Water Drive Northbound,07:00,0.0%
Brisbane Water Drive Northbound,07:00,0.0%
Brisbane Water Drive Northbound,07:00,0.0%
Brisbane Water Drive Northbound,07:00,0.0%
Brisbane Water Drive Northbound,07:00,0.0%
Brisbane Water Drive Northbound,07:00,0.0%
Brisbane Water Drive Northbound,07:00,0.0%
Brisbane Water Drive Northbound,07:00,0.0%
Brisbane Water Drive Northbound,07:00,0.0%
Brisbane Water Drive Northbound,07:00,0.0%
Brisbane Water Drive Northbound,07:00,0.0%
Brisbane Water Drive Northbound,07:00,0.0%
Brisbane Water Drive Northbound,07:00,0.0%
Brisbane Water Drive Northbound,07:00,0.0%
Brisbane Water Drive Northbound,07:00,0.0%
Brisbane Water Drive Northbound,07:00,0.0%
Brisbane Water Drive Northbound,07:00,0.0%
Brisbane Water Drive Northbound,07:00,0.0%
Brisbane Water Drive Northbound,07:00,0.0%
Brisbane Water Drive Northbound,07:00,0.0%
Brisbane Water Drive Northbound,07:00,0.0%
Brisbane Water Drive Northbound,07:00,0.0%
Brisbane Water Drive Northbound,07:00,0.0%
Brisbane Water Drive Northbound,07:00,0.0%
Brisbane Water Drive Northbound,07:00,0.0%
Brisbane Water Drive Northbound,07:00,0.0%
Brisbane Water Drive Northbound,07:00,0.0%
Brisbane Water Drive Northbound,07:00,0.0%
Brisbane Water Drive Northbound,07:00,0.0%
Brisbane Water Drive Northbound,07:00,0.0%
Brisbane Water Drive Northbound,07:00,0.0%
Brisbane Water Drive Northbound,07:00,0.0%
Brisbane Water Drive Northbound,07:00,0.0%
Brisbane Water Drive Northbound,07:00,0.0%
Brisbane Water Drive Northbound,07:00,0.0%
Brisbane Water Drive Northbound,07:00,0.0%
Brisbane Water Drive Northbound,07:00,0.0%
Brisbane Water Drive Northbound,07:00,0.0%
Brisbane Water Drive Northbound,07:00,0.0%
Brisbane Water Drive Northbound,07:00,0.0%
Brisbane Water Drive Northbound,07:00,0.0%
Brisbane Water Drive Northbound,07:00,0.0%
Brisbane Water Drive Northbound,07:00,0.0%
Brisbane Water Drive Northbound,07:00,0.0%
Brisbane Water Drive Northbound,07:00,0.0%
Brisbane Water Drive Northbound,07:00,0.0%
Brisbane Water Drive Northbound,07:00,0.0%
Brisbane Water Drive Northbound,07:00,0.0%
Brisbane Water Drive Southbound,07:00,0%
Brisbane Water Drive Southbound,07:00,0%
Brisbane Water Drive Southbound,07:00,0%
Brisbane Water Drive Southbound,07:00,0%
Brisbane Water Drive Southbound,07:00,0%
Brisbane Water Drive Southbound,07:00,0%
Brisbane Water Drive Southbound,07:00,0%
Brisbane Water Drive Southbound,07:00,0%
Brisbane Water Drive Southbound,07:00,0%
Brisbane Water Drive Southbound,07:00,0%
Brisbane Water Drive Southbound,07:00,0%
Brisbane Water Drive Southbound,07:00,0.0%
Brisbane Water Drive Southbound,07:00,0.0%
Brisbane Water Drive Southbound,07:00,0.0%
Brisbane Water Drive Southbound,07:00,0.0%
Brisbane Water Drive Southbound,07:00,0.0%
Brisbane Water Drive Southbound,07:00,0.0%
Brisbane Water Drive Southbound,07:00,0.0%
Brisbane Water Drive Southbound,07:00,0.0%
Brisbane Water Drive Southbound,07:00,0.0%
Brisbane Water Drive Southbound,07:00,0.0%
Brisbane Water Drive Southbound,07:00,0.0%
Brisbane Water Drive Southbound,07:00,0.0%
Brisbane Water Drive Southbound,07:00,0.0%
Brisbane Water Drive Southbound,07:00,0.0%
Brisbane Water Drive Southbound,07:00,0.0%
Brisbane Water Drive Southbound,07:00,0.0%
Brisbane Water Drive Southbound,07:00,0.0%
Brisbane Water Drive Southbound,07:00,0.0%
Brisbane Water Drive Southbound,07:00,0.0%
Brisbane Water Drive Southbound,07:00,0.0%
Brisbane Water Drive Southbound,07:00,0.0%
Brisbane Water Drive Southbound,07:00,0.0%
Brisbane Water Drive Southbound,07:00,14.54545454545455%
Brisbane Water Drive Southbound,07:00,14.54545454545455%
Brisbane Water Drive Southbound,07:00,0.0%
Brisbane Water Drive Southbound,07:00,0.0%
Brisbane Water Drive Southbound,07:00,0.0%
Brisbane Water Drive Southbound,07:00,0.0%
Brisbane Water Drive Southbound,07:00,0.0%
Brisbane Water Drive Southbound,07:00,0.0%
Brisbane Water Drive Southbound,07:00,0.0%
Brisbane Water Drive Southbound,07:00,0.0%
Brisbane Water Drive Southbound,07:00,0.0%
Brisbane Water Drive Southbound,07:00,0.0%
Brisbane Water Drive Southbound,07:00,0.0%
Brisbane Water Drive Southbound,07:00,0.0%
Brisbane Water Drive Southbound,07:00,0.0%
Brisbane Water Drive Southbound,07:00,0.0%
Brisbane Water Drive Southbound,07:00,0.0%
Brisbane Water Drive Southbound,07:00,0.0%
Brisbane Water Drive Southbound,07:00,0.0%
Brisbane Water Drive Southbound,07:00,0.0%
Brisbane Water Drive Southbound,07:00,0.0%
Brisbane Water Drive Southbound,07:00,0.0%
Burns Bay Road Northbound,07:00,0%
Burns Bay Road Northbound,07:00,0%
Burns Bay Road Northbound,07:00,0%
Burns Bay Road Northbound,07:00,0%
Burns Bay Road Northbound,07:00,0%
Burns Bay Road Northbound,07:00,0%
Burns Bay Road Northbound,07:00,0%
Burns Bay Road Northbound,07:00,0%
Burns Bay Road Northbound,07:00,0.0%
Burns Bay Road Northbound,07:00,0.0%
Burns Bay Road Northbound,07:00,0.0%
Burns Bay Road Northbound,07:00,0.2916666666666666%
Burns Bay Road Northbound,07:00,0.0%
Burns Bay Road Northbound,07:00,0.0%
Burns Bay Road Northbound,07:00,0.0%
Burns Bay Road Northbound,07:00,0.0%
Burns Bay Road Northbound,07:00,0.0%
Burns Bay Road Northbound,07:00,0.0%
Burns Bay Road Northbound,07:00,0.0%
Burns Bay Road Northbound,07:00,16.326530612244895%
Burns Bay Road Northbound,07:00,0.0%
Burns Bay Road Northbound,07:00,30.23255813953488%
Burns Bay Road Northbound,07:00,30.952380952380956%
Burns Bay Road Northbound,07:00,0.0%
Burns Bay Road Northbound,07:00,0.0%
Burns Bay Road Northbound,07:00,0.0%
Burns Bay Road Northbound,07:00,80.0%
Burns Bay Road Northbound,07:00,70.0%
Burns Bay Road Northbound,07:00,0.0%
Burns Bay Road Northbound,07:00,52.27272727272727%
Burns Bay Road Northbound,07:00,0.0%
Burns Bay Road Northbound,07:00,0.0%
Burns Bay Road Northbound,07:00,0.0%
Burns Bay Road Northbound,07:00,0.0%
Burns Bay Road Northbound,07:00,0.0%
Burns Bay Road Northbound,07:00,0.0%
Burns Bay Road Northbound,07:00,0.0%
Burns Bay Road Northbound,07:00,34.09090909090909%
Burns Bay Road Northbound,07:00,0.0%
Burns Bay Road Northbound,07:00,0.0%
Burns Bay Road Southbound,07:00,0%
Burns Bay Road Southbound,07:00,0%
Burns Bay Road Southbound,07:00,0%
Burns Bay Road Southbound,07:00,0%
Burns Bay Road Southbound,07:00,0%
Burns Bay Road Southbound,07:00,0%
Burns Bay Road Southbound,07:00,0.0%
Burns Bay Road Southbound,07:00,0.0%
Burns Bay Road Southbound,07:00,0.0%
Burns Bay Road Southbound,07:00,0.0%
Burns Bay Road Southbound,07:00,0.0%
Burns Bay Road Southbound,07:00,0.0%
Burns Bay Road Southbound,07:00,30.23255813953488%
Burns Bay Road Southbound,07:00,0.0%
Burns Bay Road Southbound,07:00,0.0%
Burns Bay Road Southbound,07:00,0.0%
Burns Bay Road Southbound,07:00,0.0%
Burns Bay Road Southbound,07:00,0.0%
Burns Bay Road Southbound,07:00,0.0%
Burns Bay Road Southbound,07:00,0.0%
Burns Bay Road Southbound,07:00,0.0%
Burns Bay Road Southbound,07:00,0.0%
Burns Bay Road Southbound,07:00,0.0%
Burns Bay Road Southbound,07:00,0.0%
Burns Bay Road Southbound,07:00,0.0%
Burns Bay Road Southbound,07:00,0.0%
Burns Bay Road Southbound,07:00,0.0%
Burns Bay Road Southbound,07:00,0.0%
Burns Bay Road Southbound,07:00,0.0%
Burns Bay Road Southbound,07:00,0.0%
Camden Valley Way Northbound,07:00,0%
Camden Valley Way Northbound,07:00,0%
Camden Valley Way Northbound,07:00,0%
Camden Valley Way Northbound,07:00,0%
Camden Valley Way Northbound,07:00,45%
Camden Valley Way Northbound,07:00,56%
Camden Valley Way Northbound,07:00,0%
Camden Valley Way Northbound,07:00,0%
Camden Valley Way Northbound,07:00,23%
Camden Valley Way Northbound,07:00,29%
Camden Valley Way Northbound,07:00,0%
Camden Valley Way Northbound,07:00,0%
Camden Valley Way Northbound,07:00,0%
Camden Valley Way Northbound,07:00,0%
Camden Valley Way Northbound,07:00,0%
Camden Valley Way Northbound,07:00,0%
Camden Valley Way Northbound,07:00,0%
Camden Valley Way Northbound,07:00,49%
Camden Valley Way Northbound,07:00,43%
Camden Valley Way Northbound,07:00,43%
Camden Valley Way Northbound,07:00,0.0%
Camden Valley Way Northbound,07:00,0.0%
Camden Valley Way Northbound,07:00,0.0%
Camden Valley Way Northbound,07:00,0.0%
Camden Valley Way Northbound,07:00,0.4651162790697675%
Camden Valley Way Northbound,07:00,0.0%
Camden Valley Way Northbound,07:00,0.0%
Camden Valley Way Northbound,07:00,0.2857142857142857%
Camden Valley Way Northbound,07:00,0.2028985507246377%
Camden Valley Way Northbound,07:00,0.5405405405405406%
Camden Valley Way Northbound,07:00,0.0%
Camden Valley Way Northbound,07:00,0.0%
Camden Valley Way Northbound,07:00,0.0%
Camden Valley Way Northbound,07:00,0.0%
Camden Valley Way Northbound,07:00,0.0%
Camden Valley Way Northbound,07:00,0.0%
Camden Valley Way Northbound,07:00,0.0%
Camden Valley Way Northbound,07:00,0.0%
Camden Valley Way Northbound,07:00,0.2105263157894736%
Camden Valley Way Northbound,07:00,0.3023255813953488%
Camden Valley Way Northbound,07:00,0.0%
Camden Valley Way Northbound,07:00,0.0%
Camden Valley Way Northbound,07:00,0.0%
Camden Valley Way Northbound,07:00,0.0%
Camden Valley Way Northbound,07:00,25.0%
Camden Valley Way Northbound,07:00,21.666666666666668%
Camden Valley Way Northbound,07:00,15.625%
Camden Valley Way Northbound,07:00,8.571428571428575%
Camden Valley Way Northbound,07:00,40.57971014492754%
Camden Valley Way Northbound,07:00,28.985507246376805%
Camden Valley Way Northbound,07:00,0.0%
Camden Valley Way Northbound,07:00,0.0%
Camden Valley Way Northbound,07:00,0.0%
Camden Valley Way Northbound,07:00,0.0%
Camden Valley Way Northbound,07:00,0.0%
Camden Valley Way Northbound,07:00,0.0%
Camden Valley Way Northbound,07:00,0.0%
Camden Valley Way Northbound,07:00,0.0%
Camden Valley Way Northbound,07:00,33.333333333333336%
Camden Valley Way Northbound,07:00,12.765957446808509%
Camden Valley Way Northbound,07:00,0.0%
Camden Valley Way Northbound,07:00,0.0%
Camden Valley Way Northbound,07:00,0.0%
Camden Valley Way Northbound,07:00,0.0%
Camden Valley Way Northbound,07:00,0.0%
Camden Valley Way Northbound,07:00,0.0%
Camden Valley Way Northbound,07:00,21.875%
Camden Valley Way Northbound,07:00,0.0%
Camden Valley Way Northbound,07:00,26.086956521739136%
Camden Valley Way Northbound,07:00,26.086956521739136%
Camden Valley Way Northbound,07:00,0.0%
Camden Valley Way Northbound,07:00,0.0%
Camden Valley Way Northbound,07:00,0.0%
Camden Valley Way Northbound,07:00,20.0%
Camden Valley Way Northbound,07:00,20.0%
Camden Valley Way Northbound,07:00,20.0%
Camden Valley Way Northbound,07:00,20.0%
Camden Valley Way Northbound,07:00,20.0%
Camden Valley Way Northbound,07:00,0.0%
Camden Valley Way Northbound,07:00,22.916666666666664%
Camden Valley Way Northbound,07:00,0.0%
Camden Valley Way Northbound,07:00,0.0%
Camden Valley Way Northbound,07:00,0.0%
Camden Valley Way Northbound,07:00,0.0%
Camden Valley Way Northbound,07:00,28.57142857142857%
Camden Valley Way Northbound,07:00,0.0%
Camden Valley Way Northbound,07:00,40.625%
Camden Valley Way Northbound,07:00,0.0%
Camden Valley Way Northbound,07:00,0.0%
Camden Valley Way Northbound,07:00,0.0%
Camden Valley Way Northbound,07:00,0.0%
Camden Valley Way Northbound,07:00,0.0%
Camden Valley Way Northbound,07:00,0.0%
Camden Valley Way Northbound,07:00,0.0%
Camden Valley Way Northbound,07:00,0.0%
Camden Valley Way Northbound,07:00,0.0%
Camden Valley Way Northbound,07:00,0.0%
Camden Valley Way Northbound,07:00,0.0%
Camden Valley Way Northbound,07:00,0.0%
Camden Valley Way Northbound,07:00,12.5%
Camden Valley Way Southbound,07:00,39%
Camden Valley Way Southbound,07:00,0%
Camden Valley Way Southbound,07:00,0%
Camden Valley Way Southbound,07:00,0%
Camden Valley Way Southbound,07:00,0%
Camden Valley Way Southbound,07:00,0%
Camden Valley Way Southbound,07:00,0%
Camden Valley Way Southbound,07:00,0%
Camden Valley Way Southbound,07:00,0%
Camden Valley Way Southbound,07:00,0%
Camden Valley Way Southbound,07:00,0%
Camden Valley Way Southbound,07:00,0%
Camden Valley Way Southbound,07:00,0%
Camden Valley Way Southbound,07:00,0%
Camden Valley Way Southbound,07:00,0%
Camden Valley Way Southbound,07:00,0%
Camden Valley Way Southbound,07:00,0%
Camden Valley Way Southbound,07:00,28%
Camden Valley Way Southbound,07:00,0%
Camden Valley Way Southbound,07:00,0%
Camden Valley Way Southbound,07:00,0%
Camden Valley Way Southbound,07:00,0%
Camden Valley Way Southbound,07:00,0%
Camden Valley Way Southbound,07:00,0.2307692307692307%
Camden Valley Way Southbound,07:00,0.0%
Camden Valley Way Southbound,07:00,0.0%
Camden Valley Way Southbound,07:00,0.0%
Camden Valley Way Southbound,07:00,0.0%
Camden Valley Way Southbound,07:00,0.0%
Camden Valley Way Southbound,07:00,0.0%
Camden Valley Way Southbound,07:00,0.0%
Camden Valley Way Southbound,07:00,0.0%
Camden Valley Way Southbound,07:00,0.0%
Camden Valley Way Southbound,07:00,0.0%
Camden Valley Way Southbound,07:00,0.0%
Camden Valley Way Southbound,07:00,0.3125%
Camden Valley Way Southbound,07:00,0.0%
Camden Valley Way Southbound,07:00,0.3098591549295775%
Camden Valley Way Southbound,07:00,0.3098591549295775%
Camden Valley Way Southbound,07:00,0.0%
Camden Valley Way Southbound,07:00,0.3783783783783784%
Camden Valley Way Southbound,07:00,0.0%
Camden Valley Way Southbound,07:00,0.0%
Camden Valley Way Southbound,07:00,0.0%
Camden Valley Way Southbound,07:00,0.0%
Camden Valley Way Southbound,07:00,0.0%
Camden Valley Way Southbound,07:00,38.46153846153846%
Camden Valley Way Southbound,07:00,34.693877551020414%
Camden Valley Way Southbound,07:00,0.0%
Camden Valley Way Southbound,07:00,0.0%
Camden Valley Way Southbound,07:00,0.0%
Camden Valley Way Southbound,07:00,0.0%
Camden Valley Way Southbound,07:00,0.0%
Camden Valley Way Southbound,07:00,0.0%
Camden Valley Way Southbound,07:00,0.0%
Camden Valley Way Southbound,07:00,0.0%
Camden Valley Way Southbound,07:00,0.0%
Camden Valley Way Southbound,07:00,2.8169014084507005%
Camden Valley Way Southbound,07:00,2.8169014084507005%
Camden Valley Way Southbound,07:00,28.07017543859649%
Camden Valley Way Southbound,07:00,0.0%
Camden Valley Way Southbound,07:00,3.030303030303028%
Camden Valley Way Southbound,07:00,0.0%
Camden Valley Way Southbound,07:00,0.0%
Camden Valley Way Southbound,07:00,0.0%
Camden Valley Way Southbound,07:00,0.0%
Camden Valley Way Southbound,07:00,0.0%
Camden Valley Way Southbound,07:00,0.0%
Camden Valley Way Southbound,07:00,0.0%
Camden Valley Way Southbound,07:00,50.0%
Camden Valley Way Southbound,07:00,0.0%
Camden Valley Way Southbound,07:00,0.0%
Camden Valley Way Southbound,07:00,0.0%
Camden Valley Way Southbound,07:00,0.0%
Camden Valley Way Southbound,07:00,0.0%
Camden Valley Way Southbound,07:00,0.0%
Camden Valley Way Southbound,07:00,0.0%
Camden Valley Way Southbound,07:00,0.0%
Camden Valley Way Southbound,07:00,0.0%
Camden Valley Way Southbound,07:00,0.0%
Camden Valley Way Southbound,07:00,0.0%
Camden Valley Way Southbound,07:00,0.0%
Camden Valley Way Southbound,07:00,31.034482758620683%
Camden Valley Way Southbound,07:00,0.0%
Camden Valley Way Southbound,07:00,0.0%
Camden Valley Way Southbound,07:00,0.0%
Camden Valley Way Southbound,07:00,0.0%
Camden Valley Way Southbound,07:00,0.0%
Camden Valley Way Southbound,07:00,0.0%
Camden Valley Way Southbound,07:00,0.0%
Camden Valley Way Southbound,07:00,0.0%
Camden Valley Way Southbound,07:00,0.0%
Camden Valley Way Southbound,07:00,40.0%
Camden Valley Way Southbound,07:00,0.0%
Camden Valley Way Southbound,07:00,19.298245614035093%
Camden Valley Way Southbound,07:00,0.0%
Camden Valley Way Southbound,07:00,0.0%
Camden Valley Way Southbound,07:00,0.0%
Camden Valley Way Southbound,07:00,0.0%
Camden Valley Way Southbound,07:00,0.0%
Camden Valley Way Southbound,07:00,0.0%
Camden Valley Way Southbound,07:00,0.0%
Camden Valley Way Southbound,07:00,0.0%
Camden Valley Way Southbound,07:00,1.4285714285714235%
Camden Valley Way Southbound,07:00,1.4285714285714235%
Camden Valley Way Southbound,07:00,24.561403508771928%
Camden Valley Way Southbound,07:00,0.0%
Camden Valley Way Southbound,07:00,0.0%
Camden Valley Way Southbound,07:00,16.000000000000004%
Camden Valley Way Southbound,07:00,16.000000000000004%
Camden Valley Way Southbound,07:00,0.0%
Camden Valley Way Southbound,07:00,0.0%
Camden Valley Way Southbound,07:00,0.0%
Camden Valley Way Southbound,07:00,0.0%
Camden Valley Way Southbound,07:00,0.0%
Sunnyholt Road Northbound,07:00,0%
Sunnyholt Road Northbound,07:00,0%
Sunnyholt Road Northbound,07:00,24%
Sunnyholt Road Northbound,07:00,0%
Sunnyholt Road Northbound,07:00,30%
Sunnyholt Road Northbound,07:00,0%
Sunnyholt Road Northbound,07:00,0%
Sunnyholt Road Northbound,07:00,0%
Sunnyholt Road Northbound,07:00,70%
Sunnyholt Road Northbound,07:00,0.3170731707317072%
Sunnyholt Road Northbound,07:00,0.2553191489361702%
Sunnyholt Road Northbound,07:00,0.0%
Sunnyholt Road Northbound,07:00,0.3%
Sunnyholt Road Northbound,07:00,0.3148148148148147%
Sunnyholt Road Northbound,07:00,0.5576923076923077%
Sunnyholt Road Northbound,07:00,0.2105263157894736%
Sunnyholt Road Northbound,07:00,0.0%
Sunnyholt Road Northbound,07:00,0.6%
Sunnyholt Road Northbound,07:00,0.0%
Sunnyholt Road Northbound,07:00,0.0%
Sunnyholt Road Northbound,07:00,0.0%
Sunnyholt Road Northbound,07:00,13.953488372093029%
Sunnyholt Road Northbound,07:00,59.18367346938776%
Sunnyholt Road Northbound,07:00,0.0%
Sunnyholt Road Northbound,07:00,0.0%
Sunnyholt Road Northbound,07:00,0.0%
Sunnyholt Road Northbound,07:00,28.57142857142857%
Sunnyholt Road Northbound,07:00,0.0%
Sunnyholt Road Northbound,07:00,0.0%
Sunnyholt Road Northbound,07:00,0.0%
Sunnyholt Road Northbound,07:00,44.99999999999999%
Sunnyholt Road Northbound,07:00,42.85714285714286%
Sunnyholt Road Northbound,07:00,23.33333333333333%
Sunnyholt Road Northbound,07:00,54.0%
Sunnyholt Road Northbound,07:00,0.0%
Sunnyholt Road Northbound,07:00,63.33333333333333%
Sunnyholt Road Northbound,07:00,26.470588235294112%
Sunnyholt Road Northbound,07:00,37.5%
Sunnyholt Road Northbound,07:00,0.0%
Sunnyholt Road Northbound,07:00,19.047619047619047%
Sunnyholt Road Northbound,07:00,0.0%
Sunnyholt Road Northbound,07:00,33.333333333333336%
Sunnyholt Road Northbound,07:00,0.0%
Sunnyholt Road Northbound,07:00,0.0%
Sunnyholt Road Northbound,07:00,53.57142857142857%
Sunnyholt Road Southbound,07:00,0%
Sunnyholt Road Southbound,07:00,21%
Sunnyholt Road Southbound,07:00,22%
Sunnyholt Road Southbound,07:00,39%
Sunnyholt Road Southbound,07:00,0%
Sunnyholt Road Southbound,07:00,0%
Sunnyholt Road Southbound,07:00,0%
Sunnyholt Road Southbound,07:00,26%
Sunnyholt Road Southbound,07:00,0.0%
Sunnyholt Road Southbound,07:00,0.0%
Sunnyholt Road Southbound,07:00,0.2909090909090909%
Sunnyholt Road Southbound,07:00,0.25%
Sunnyholt Road Southbound,07:00,0.0%
Sunnyholt Road Southbound,07:00,0.0%
Sunnyholt Road Southbound,07:00,0.0%
Sunnyholt Road Southbound,07:00,0.3421052631578947%
Sunnyholt Road Southbound,07:00,54.6875%
Sunnyholt Road Southbound,07:00,8.92857142857143%
Sunnyholt Road Southbound,07:00,31.11111111111111%
Sunnyholt Road Southbound,07:00,45.45454545454546%
Sunnyholt Road Southbound,07:00,0.0%
Sunnyholt Road Southbound,07:00,0.0%
Sunnyholt Road Southbound,07:00,0.0%
Sunnyholt Road Southbound,07:00,0.0%
Sunnyholt Road Southbound,07:00,0.0%
Sunnyholt Road Southbound,07:00,23.214285714285708%
Sunnyholt Road Southbound,07:00,92.0%
Sunnyholt Road Southbound,07:00,95.34883720930232%
Sunnyholt Road Southbound,07:00,0.0%
Sunnyholt Road Southbound,07:00,19.64285714285714%
Sunnyholt Road Southbound,07:00,0.0%
Sunnyholt Road Southbound,07:00,0.0%
Sunnyholt Road Southbound,07:00,0.0%
Sunnyholt Road Southbound,07:00,0.0%
Sunnyholt Road Southbound,07:00,0.0%
Sunnyholt Road Southbound,07:00,0.0%
Sunnyholt Road Southbound,07:00,0.0%
Sunnyholt Road Southbound,07:00,0.0%
Sunnyholt Road Southbound,07:00,0.0%
Sunnyholt Road Southbound,07:00,0.0%
O'riordan Street northbound,07:00,0%
O'riordan Street northbound,07:00,36%
O'riordan Street northbound,07:00,31%
O'riordan Street northbound,07:00,31%
O'riordan Street northbound,07:00,0%
O'riordan Street northbound,07:00,0.4358974358974359%
O'riordan Street northbound,07:00,0.0%
O'riordan Street northbound,07:00,0.0%
O'riordan Street northbound,07:00,0.0%
O'riordan Street northbound,07:00,0.2580645161290322%
O'riordan Street northbound,07:00,0.0%
O'riordan Street northbound,07:00,41.3793103448276%
O'riordan Street northbound,07:00,0.0%
O'riordan Street northbound,07:00,0.0%
O'riordan Street northbound,07:00,20.58823529411765%
O'riordan Street northbound,07:00,0.0%
O'riordan Street northbound,07:00,14.70588235294118%
O'riordan Street northbound,07:00,0.0%
O'riordan Street northbound,07:00,0.0%
O'riordan Street northbound,07:00,20.58823529411765%
O'riordan Street northbound,07:00,0.0%
O'riordan Street northbound,07:00,31.034482758620683%
O'riordan Street northbound,07:00,0.0%
O'riordan Street northbound,07:00,0.0%
O'riordan Street northbound,07:00,17.647058823529417%
O'riordan Street southbound,07:00,22%
